ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
171;;1;4;3;3;2;1;1;14;9;3,26;2,52;2,72
172;Eu me imagino fazendo curso de veterinária, tendo um bom emprego e cuidando de vários animais e tendo meu proprio dinheiro                                                                                      ;2;3;3;2;1;1;1;12;6;3,26;3,15;2,84
173;Um país mais desenvolvido, menos corrupções, vidas melhores (etc)                                                                                                                                               ;1;5;3;2;1;1;1;;9;3,27;1,89;1,37
174;Bom, imagino conseguir concretizar todos as minhas metas e sonhos de um futuro Bom a minha familia                                                                                                              ;2;5;4;2;2;1;1;14;9;3,27;2,27;1,53
175;;1;4;3;2;1;1;1;12;7;3,28;2,97;1,16
176;Uma vida boa sem preucupação tranquila, vivendo sucegado,                                                                                                                                                       ;1;2;3;2;2;2;2;14;9;3,29;1,18;2,24
177;uma boa estabilidade finceira, trabalhando com algo que eu goste e etc,,                                                                                                                                      ;1;2;3;2;2;1;1;13;8;3,29;1,51;1,8
178;Boa eu com minha família e meus pais                                                                                                                                                                            ;1;2;3;2;1;1;2;12;7;3,3;1,71;1,43
179;Eu quero ser médica e ter uma vida normal                                                                                                                                                                       ;1;5;4;1;1;1;1;12;7;3,3;2,05;1,02
180;Eu imagino eu trabalhando e dando uma vida melhor para minha mãe                                                                                                                                                ;1;5;4;2;2;1;1;12;7;3,3;3,46;1,41
181;Eu quero no meu futuro ser professor de educação física                                                                                                                                                         ;1;2;3;2;1;1;2;13;7;3,31;1,38;1,08
182;Que no futuro eu vou ter uma condição melhor e vou ajudar meus pais que são muito legal e etc,,,                                                                                                                ;1;4;4;2;1;1;1;11;6;3,31;1,97;1,04
183;eu imagino que no futuro eu vou ter que vencer  vinda e procurar uma vinda melhor para a familia,                                                                                                             ;1;2;3;2;2;1;2;;6;3,31;3;0,93
184;Legal, pretendo fazer uma boa faculdade e sem (sic) bem sucedida                                                                                                                                                ;1;4;3;3;2;2;1;13;7;3,31;3,77;3,13
185;Ter um bom emprego uma boa mulher e ter uma vida,                                                                                                                                                               ;2;3;4;2;1;2;2;12;7;3,31;4,75;0,95
186;Eu me imagino formada no curso que eu quero, Tendo a minha casa própria com muitos cachorros,                                                                                                                   ;1;3;3;2;2;2;1;12;6;3,31;4,75;3,28
187;Minha vida no futuro vai ser legal pois vou ganhar muita gra,                                                                                                                                                 ;1;4;3;1;1;1;2;12;7;3,32;0,95;1
188;sendo ator, sendo cantor e apresentador                                                                                                                                                                         ;1;4;1;3;1;1;2;13;7;3,32;3,51;2,23
189;me imagino morando fora do brasil, rica e com dois filhos e um marido                                                                                                                                           ;1;3;4;2;2;1;1;13;8;3,32;4,21;1,67
190;ser policial                                                                                                                                                                                                    ;2;;5;2;2;1;2;14;6;3,33;1,23;0,97
191;um jogador de futebol ou desenhista                                                                                                                                                                             ;1;3;2;1;2;1;2;;9;3,33;2,51;2,11
192;Fazer agronomia, ter uma casa e uma familia,                                                                                                                                                                    ;1;4;3;2;2;1;1;12;6;3,33;4,89;2,04
193;Uma vida decente, humilde,                                                                                                                                                                                      ;2;3;3;2;1;1;2;12;7;3,34;1,82;1
194;Jogando futebol ou sendo engenheiro megatronico                                                                                                                                                                 ;1;4;4;2;1;2;2;11;6;3,34;3,5;1,32
195;Um homem de negócios muito importante, com uma boa casa, boa esposa e principalmente uma otima pessoa,                                                                                                          ;1;3;3;2;1;1;2;14;9;3,34;3,96;2,61
196;que eu seja uma médica que a minha vida seja boa                                                                                                                                                                ;2;3;3;3;1;1;1;13;;3,34;5,05;2,04
197;Bem sucedido                                                                                                                                                                                                    ;2;2;3;2;2;2;1;13;8;3,35;2,65;2,15
198;;2;3;2;2;2;2;2;14;7;3,35;3,94;2,82
199;Casada, com tres filhos e more de cabelos longos e pretos                                                                                                                                                     ;1;5;3;2;1;1;1;13;6;3,36;1,61;2,13
200;Eu imagino eu tando formada, trabalho para poder ajudar minha mãe e também que eu possa mudar a vida de muitas pessoas com o amor de Deus                                                                       ;1;3;4;2;2;1;1;13;7;3,37;1,75;1,62
201;Eu imagino uma grande mulher, com saúde, amor, família, e muitas s coisas                                                                                                                                  ;1;5;4;2;2;1;1;12;7;3,37;1,95;1,39
202;Veteririo fodão                                                                                                                                                                                               ;1;4;3;2;1;2;;14;7;3,37;1,96;1,62
203;Eu me imagino rica, com muita saúde                                                                                                                                                                             ;1;5;4;2;1;1;1;11;6;3,39;0,98;1,31
204;Que eu me formo, trabalho, ter casa bonita e grande e da uma boa vida para minha vós e mãe                                                                                                                      ;1;4;3;3;2;2;1;12;7;3,39;3,46;1,35
205;imagino ser um grande jogador de futebol, antes disso eu tenho que melhorar meus estudos                                                                                                                        ;1;3;5;2;2;1;2;12;;3,4;1,25;2,74
206;Normal                                                                                                                                                                                                          ;1;3;1;2;;2;2;14;9;3,4;3,01;2,15
207;Bem de vida com a mnha realizando meus sonhos                                                                                                                                                                   ;1;4;3;3;2;1;2;12;7;3,4;3,97;1,34
208;Muito bom e sendo youtuber                                                                                                                                                                                      ;1;4;2;3;2;1;2;12;7;3,41;1,22;0,98
209;Formada, casada e com minha família em uma casa bonita e viajando para muitos lugares                                                                                                                           ;1;4;3;2;2;2;1;14;9;3,41;3,47;1,71
